tau	g_0_tau_up
0.0	(0.2355340000693936-0.5966791164715681j)
0.0625	(-0.05403778436763877-0.36972437830683336j)
0.125	(0.015576031999513712-0.2645551536269811j)
0.1875	(-0.02403605908255066-0.22360725355130884j)
0.25	(0.005805274090079485-0.18951670708028232j)
0.3125	(-0.015850142223423083-0.169294649012231j)
0.375	(0.0033265147385127536-0.150734885785607j)
0.4375	(-0.0115037062254221-0.1382017939183935j)
0.5	(0.00267749419285504-0.1261735311246695j)
0.5625	(-0.00857444881675571-0.11753615398051948j)
0.625	(0.0026857766583915435-0.10901517500126165j)
0.6875	(-0.006380953659919197-0.10268314105875984j)
0.75	(0.0029473126887985188-0.09630853712419031j)
0.8125	(-0.004658176531875849-0.0914726529140543j)
0.875	(0.0032886903826557026-0.08652211822454314j)
0.9375	(-0.0032777750497257688-0.08271773089208216j)
1.0	(0.00362757584654657-0.07876479570906064j)
1.0625	(-0.002165918820474233-0.0757021545866309j)
1.125	(0.003923878400836141-0.07247557992971806j)
1.1875	(-0.0012738871312633765-0.06996289564230264j)
1.25	(0.004159200877475306-0.0672804878976319j)
1.3125	(-0.0005659465057662842-0.06518500319429135j)
1.375	(0.004327064821885326-0.06291921674127221j)
1.4375	(-1.3792671982770094e-05-0.061145840258855215j)
1.5	(0.00442780764429259-0.059204505022543485j)
1.5625	(0.0004061963147311519-0.05768331162031058j)
1.625	(0.004465703947069858-0.05599816769525695j)
1.6875	(0.0007143885058231575-0.05467669228286092j)
1.75	(0.004447233953829918-0.053196221372107756j)
1.8125	(0.0009286696549123848-0.05203449197434536j)
1.875	(0.0043799898612761744-0.05071924176934598j)
1.9375	(0.0010648766690359232-0.04968645292981579j)
2.0	(0.00427196283466743-0.04850587424289142j)
2.0625	(0.0011370553603400873-0.047578083521887006j)
2.125	(0.0041310716757098995-0.04650832201659332j)
2.1875	(0.001157628127528362-0.04566680806961116j)
2.25	(0.00396485295329605-0.044689119663514666j)
2.3125	(0.001137517357183173-0.043919182257327175j)
2.375	(0.003780263279451407-0.04301876891326936j)
2.4375	(0.0010862489060819661-0.04230883299817527j)
2.5	(0.0035835616005476132-0.04147397001464676j)
2.5625	(0.0010120482241612761-0.04081490469773666j)
2.625	(0.0033802494846570854-0.04003627540004427j)
2.6875	(0.0009219351023562611-0.03942086858109122j)
2.75	(0.0031750536659213833-0.03869105007379108j)
2.8125	(0.0008218193736596897-0.038113598372996466j)
2.875	(0.002971939214858853-0.03742665967211336j)
2.9375	(0.0007165979038561213-0.036882645472853984j)
3.0	(0.00277414452073769-0.03623383083941362j)
3.0625	(0.000610252175646172-0.03571966632872588j)
3.125	(0.0025842312860505584-0.035105144283374114j)
3.1875	(0.0005059452933140862-0.034617967811072486j)
3.25	(0.002404144227122429-0.03403463151148421j)
3.3125	(0.0004061170826964316-0.033572145329873154j)
3.375	(0.0022352763216108773-0.033017453593963866j)
3.4375	(0.00031257599767876257-0.03257779466274004j)
3.5	(0.0020785363507548516-0.03204964546115848j)
3.5625	(0.0002265866878596492-0.03163128287622387j)
3.625	(0.0019344162185534228-0.031127912943960508j)
3.6875	(0.0001489522804584099-0.03072956691436405j)
