wn	g_0_wn_up
-12.541826921753001	(0.01085712458636655+0.07809946898219552j)
-12.492739536540661	(0.010940835088876496+0.07839365150046788j)
-12.44365215132832	(0.011025511788884536+0.07869000756076942j)
-12.39456476611598	(0.011111169524870675+0.07898856075137516j)
-12.34547738090364	(0.011197823418134696+0.07928933499390706j)
-12.2963899956913	(0.011285488879198629+0.07959235454899702j)
-12.24730261047896	(0.01137418161437968+0.07989764402205797j)
-12.198215225266619	(0.011463917632538827+0.08020522836916563j)
-12.149127840054279	(0.011554713252010393+0.08051513290305343j)
-12.100040454841938	(0.011646585107718125+0.08082738329922301j)
-12.050953069629598	(0.01173955015848344+0.08114200560217315j)
-12.001865684417256	(0.011833625694531625+0.08145902623174939j)
-11.952778299204915	(0.011928829345202044+0.08177847198961691j)
-11.903690913992575	(0.012025179086868643+0.08210037006585988j)
-11.854603528780235	(0.012122693251077036+0.08242474804570903j)
-11.805516143567894	(0.012221390532905054+0.08275163391640099j)
-11.756428758355554	(0.01232128999955347+0.08308105607417154j)
-11.707341373143214	(0.012422411099174241+0.08341304333138577j)
-11.658253987930873	(0.012524773669943598+0.08374762492380797j)
-11.609166602718533	(0.012628397949387722+0.0840848305180139j)
-11.560079217506193	(0.012733304583969079+0.08442469021894866j)
-11.51099183229385	(0.012839514638941608+0.08476723457763283j)
-11.46190444708151	(0.012947049608483453+0.08511249459901996j)
-11.41281706186917	(0.01305593142611616+0.08546050175000872j)
-11.36372967665683	(0.01316618247541956+0.0858112879676126j)
-11.314642291444489	(0.013277825601052+0.08616488566729062j)
-11.265554906232149	(0.013390884120085746+0.08652132775144206j)
-11.216467521019808	(0.013505381833668036+0.08688064761806905j)
-11.167380135807468	(0.013621343039018286+0.08724287916961011j)
-11.118292750595128	(0.013738792541772562+0.08760805682194832j)
-11.069205365382787	(0.013857755668686808+0.08797621551359772j)
-11.020117980170447	(0.0139782582807106+0.08834739071507178j)
-10.971030594958105	(0.014100326786443735+0.08872161843843752j)
-10.921943209745764	(0.014223988155988323+0.08909893524705904j)
-10.872855824533424	(0.014349269935209647+0.08947937826553495j)
-10.823768439321084	(0.014476200260419212+0.08986298518983278j)
-10.774681054108743	(0.014604807873494304+0.09024979429762522j)
-10.725593668896403	(0.014735122137448528+0.09063984445883186j)
-10.676506283684063	(0.01486717305246856+0.09103317514637074j)
-10.627418898471722	(0.015000991272432727+0.09142982644712383j)
-10.578331513259382	(0.015136608121927785+0.09182983907312094j)
-10.529244128047042	(0.01527405561378058+0.09223325437294584j)
-10.480156742834701	(0.015413366467122321+0.09264011434336977j)
-10.43106935762236	(0.01555457412600337+0.0930504616412159j)
-10.381981972410019	(0.015697712778577455+0.0934643395954596j)
-10.332894587197679	(0.015842817376874874+0.09388179221956902j)
-10.283807201985338	(0.01598992365718483+0.09430286422409015j)
-10.234719816772998	(0.016139068161067985+0.09472760102948108j)
-10.185632431560657	(0.01629028825702108+0.09515604877919988j)
-10.136545046348317	(0.016443622162816213+0.0955882543530506j)
-10.087457661135977	(0.016599108968538397+0.09602426538079191j)
-10.038370275923636	(0.01675678866034579+0.09646413025601276j)
-9.989282890711296	(0.016916702144978066+0.09690789815027977j)
-9.940195505498954	(0.017078891275039306+0.09735561902756049j)
-9.891108120286614	(0.01724339887508281+0.09780734365892711j)
-9.842020735074273	(0.0174102687685265+0.09826312363754512j)
-9.792933349861933	(0.017579545805428472+0.09872301139395083j)
-9.743845964649593	(0.017751275891153558+0.09918706021162232j)
-9.694758579437252	(0.017925506015963103+0.099655324242848j)
-9.645671194224912	(0.018102284285561213+0.10012785852489654j)
-9.596583809012571	(0.018281659952632336+0.10060471899649254j)
-9.547496423800231	(0.018463683449406174+0.10108596251460124j)
-9.49840903858789	(0.018648406421287803+0.10157164687152677j)
-9.44932165337555	(0.018835881761591802+0.10206183081232645j)
-9.400234268163208	(0.019026163647421594+0.1025565740525456j)
-9.351146882950868	(0.019219307576735966+0.10305593729627484j)
-9.302059497738528	(0.01941537040664748+0.10355998225453411j)
-9.252972112526187	(0.01961441039299835+0.10406877166398487j)
-9.203884727313847	(0.019816487231262045+0.10458236930597371j)
-9.154797342101507	(0.02002166209882039+0.10510084002590897j)
-9.105709956889166	(0.020229997698668373+0.10562424975297266j)
-9.056622571676826	(0.02044155830460067+0.10615266552016815j)
-9.007535186464485	(0.02065640980793661+0.10668615548470575j)
-8.958447801252145	(0.020874619765842328+0.10722478894872559j)
-8.909360416039805	(0.02109625745131161+0.1077686363803584j)
-8.860273030827463	(0.02132139390486937+0.10831776943512361j)
-8.811185645615122	(0.021550101988064514+0.1088722609776632j)
-8.762098260402782	(0.02178245643882186+0.10943218510380992j)
-8.713010875190442	(0.022018533928725548+0.109997617162987j)
-8.663923489978101	(0.022258413122309834+0.11056863378093619j)
-8.614836104765761	(0.02250217473843612+0.11114531288276966j)
-8.56574871955342	(0.022749901613838715+0.11172773371634111j)
-8.51666133434108	(0.023001678768925195+0.11231597687592906j)
-8.46757394912874	(0.023257593475921278+0.112910124326226j)
-8.4184865639164	(0.023517735329453723+0.11351025942662404j)
-8.369399178704057	(0.023782196319669144+0.11411646695578782j)
-8.320311793491717	(0.024051070907990687+0.11472883313650295j)
-8.271224408279377	(0.02432445610561925+0.11534744566078745j)
-8.222137023067036	(0.024602451554890603+0.11597239371525174j)
-8.173049637854696	(0.024885159613604386+0.11660376800669031j)
-8.123962252642356	(0.025172685442446722+0.11724166078788739j)
-8.074874867430015	(0.02546513709563312+0.11788616588361585j)
-8.025787482217675	(0.02576262561490404+0.11853737871680607j)
-7.976700097005334	(0.026065265127011964+0.11919539633486051j)
-7.927612711792993	(0.026373172944844207+0.1198603174360846j)
-7.878525326580653	(0.02668646967233311+0.12053224239620404j)
-7.829437941368313	(0.027005279313311332+0.12121127329493331j)
-7.780350556155972	(0.027329729384477808+0.12189751394255871j)
-7.731263170943632	(0.027659951032646835+0.12259106990649331j)
-7.682175785731291	(0.02799607915646113+0.12329204853775938j)
-7.63308840051895	(0.02833825253275764+0.12400055899734769j)
-7.58400101530661	(0.028686613947783733+0.12471671228239935j)
-7.53491363009427	(0.029041310333470297+0.1254406212521506j)
-7.485826244881929	(0.02940249290897792+0.1261724006535748j)
-7.436738859669588	(0.02977031732774222+0.12691216714665093j)
-7.387651474457248	(0.030144943830254886+0.1276600393291806j)
-7.338564089244907	(0.03052653740282784+0.1284161377610689j)
-7.289476704032567	(0.030915267942599564+0.12918058498797705j)
-7.240389318820227	(0.031311310429054405+0.12995350556424626j)
-7.191301933607885	(0.031714845102338685+0.13073502607498397j)
-7.142214548395545	(0.03212605764867005+0.13152527515719342j)
-7.093127163183205	(0.0325451393931511+0.13232438351981832j)
-7.044039777970864	(0.03297228750031194+0.13313248396256164j)
-6.994952392758524	(0.03340770518272232+0.13394971139332773j)
-6.945865007546184	(0.03385160191802943+0.134776202844122j)
-6.896777622333842	(0.03430419367479412+0.13561209748522965j)
-6.847690237121502	(0.03476570314751602+0.13645753663747964j)
-6.798602851909162	(0.035236360001256045+0.13731266378238366j)
-6.749515466696821	(0.0357164011262839+0.1381776245699219j)
-6.700428081484481	(0.03620607090319835+0.1390525668237292j)
-6.65134069627214	(0.03670562147898886+0.1399376405434144j)
-6.602253311059799	(0.037215313054529006+0.1408329979037223j)
-6.553165925847459	(0.03773541418401494+0.14173879325022595j)
-6.504078540635119	(0.03826620208688639+0.14265518309120903j)
-6.454991155422778	(0.03880796297279203+0.14358232608537058j)
-6.405903770210437	(0.0393609923801878+0.14452038302495537j)
-6.356816384998097	(0.03992559552918332+0.1454695168138783j)
-6.307728999785756	(0.04050208768928034+0.1464298924403774j)
-6.258641614573416	(0.04109079456267651+0.14740167694369197j)
-6.209554229361076	(0.04169205268383844+0.1483850393742191j)
-6.160466844148735	(0.04230620983608019+0.1493801507465598j)
