tau	g_0_tau_up
0.125	(-0.49481737792367319617-7.7322362119619367964e-16j)
0.25	(-0.49102288721748038602-7.661794437439207019e-16j)
0.375	(-0.48820675162334881136-7.689044943190255954e-16j)
0.5	(-0.48607912605283298824-7.8030521368193365593e-16j)
0.625	(-0.48443820373338919438-7.821796711244278209e-16j)
0.75	(-0.48314280512865787065-7.787009332798340111e-16j)
0.875	(-0.48209375618998173696-7.7560579548122799256e-16j)
1.0	(-0.4812211155268209528-7.735269516355393251e-16j)
1.125	(-0.48047536715503780247-7.788477876170642254e-16j)
1.25	(-0.47982132209756139796-7.7113171451427157477e-16j)
1.375	(-0.4792338791850883073-7.609022961336284023e-16j)
1.5	(-0.47869506703658121216-7.6986810017564576885e-16j)
1.625	(-0.47819197225104037585-7.7305123675653762867e-16j)
1.75	(-0.47771528288058434653-7.675725217745784073e-16j)
1.875	(-0.47725826065695542422-7.7599013668104463133e-16j)
2.0	(-0.47681601308876608858-7.5961206643161309016e-16j)
2.125	(-0.47638497605740676155-7.650372198145482779e-16j)
2.25	(-0.4759625447151604738-7.6224833736593389233e-16j)
2.375	(-0.47554680924575915002-7.6136350557340836884e-16j)
2.5	(-0.47513636503873540873-7.6147678299521383066e-16j)
2.625	(-0.4747301758582759268-7.540311516306117171e-16j)
2.75	(-0.47432747488513998801-7.6622764521257539193e-16j)
2.875	(-0.47392769291836334133-7.5624569280142848364e-16j)
3.0	(-0.47353040611983965302-7.680079364141365202e-16j)
3.125	(-0.47313529786747787753-7.6942588280273001983e-16j)
3.25	(-0.47274213082652810636-7.663616484718089824e-16j)
3.375	(-0.47235072644457376523-7.537957029410546233e-16j)
3.5	(-0.47196094985626330098-7.6464398476878546896e-16j)
3.625	(-0.47157269874173857183-7.6428950148035954427e-16j)
3.75	(-0.47118589508275665612-7.5690970045762685087e-16j)
3.875	(-0.4708004790483185098-7.5334306970986560656e-16j)
4.0	(-0.4704164044493392427-7.609241469366896031e-16j)
4.125	(-0.47003363535228992465-7.653930795315134908e-16j)
4.25	(-0.4696521435509647402-7.6602558814998583875e-16j)
4.375	(-0.4692719066750674628-7.51565160788468631e-16j)
4.5	(-0.46889290677242490002-7.5834793593228505115e-16j)
4.625	(-0.46851512924418931005-7.60633707280009984e-16j)
4.75	(-0.468138562043645734-7.6696678733817317576e-16j)
4.875	(-0.4677631950722531684-7.5695319030551243885e-16j)
5.0	(-0.46738901972353102954-7.6524164592241218294e-16j)
5.125	(-0.46701602853796492232-7.565695373199654442e-16j)
5.25	(-0.46664421494142149793-7.6565528916824790017e-16j)
5.375	(-0.46627357304648553438-7.570343466497712415e-16j)
5.5	(-0.465904097501279868-7.5203877131999199252e-16j)
5.625	(-0.46553578337417783617-7.482383197741191588e-16j)
5.75	(-0.46516862606569059357-7.5671396967236210325e-16j)
5.875	(-0.46480262124095567122-7.4661506054004509727e-16j)
6.0	(-0.46443776477787496182-7.5184289495093943557e-16j)
6.125	(-0.46407405272715657185-7.577146861599838557e-16j)
6.25	(-0.46371148128142436473-7.52161683741572472e-16j)
6.375	(-0.46335004675125296414-7.4945096655212189735e-16j)
6.5	(-0.46298974554649430235-7.5033992763026528556e-16j)
6.625	(-0.46263057416166303293-7.458372990060084377e-16j)
6.75	(-0.46227252916443595243-7.581144195366388812e-16j)
6.875	(-0.46191560718654672835-7.4594196051455354717e-16j)
7.0	(-0.46155980491653436637-7.4898957182388471894e-16j)
7.125	(-0.46120511909392009064-7.4104158374711180104e-16j)
7.25	(-0.46085154650449722258-7.4206364811198232204e-16j)
7.375	(-0.46049908397648664504-7.36365101610431008e-16j)
7.5	(-0.46014772837736872546-7.4274953304102149174e-16j)
7.625	(-0.45979747661124914515-7.4979097087110569385e-16j)
7.75	(-0.4594483256166430607-7.3586855501488277614e-16j)
7.875	(-0.45910027236459421962-7.4453931365856982835e-16j)
8.0	(-0.45875331385705958587-7.3962525201507400494e-16j)
8.125	(-0.45840744712550968165-7.3878744378601089596e-16j)
8.25	(-0.45806266922970090283-7.3823782528236126183e-16j)
8.375	(-0.45771897725659016487-7.4650776528842961895e-16j)
8.5	(-0.45737636831936773207-7.370504042043189404e-16j)
8.625	(-0.45703483955658452675-7.3590172164872370234e-16j)
8.75	(-0.4566943881313618725-7.4379569814021935775e-16j)
8.875	(-0.45635501123067012674-7.410363824354200676e-16j)
9.0	(-0.4560167060646656001-7.2857939975239609373e-16j)
9.125	(-0.45567946986607704707-7.372602301472215916e-16j)
9.25	(-0.45534329988963762048-7.343220846114332373e-16j)
9.375	(-0.45500819341155379627-7.2768744758915771377e-16j)
9.5	(-0.45467414772900843767-7.3280598828007664563e-16j)
9.625	(-0.45434116015969527869-7.3089888036444378757e-16j)
9.75	(-0.45400922804137788802-7.227606142770040716e-16j)
9.875	(-0.45367834873147550034-7.2985841950275008724e-16j)
10.0	(-0.45334851960666938675-7.250498134611874242e-16j)
10.125	(-0.45301973806253004184-7.2495341052387804416e-16j)
10.25	(-0.45269200151316169034-7.2956150798495785327e-16j)
10.375	(-0.45236530739086588948-7.2022250652033616234e-16j)
10.5	(-0.45203965314581762147-7.1125136881772905387e-16j)
10.625	(-0.45171503624575887192-7.2742346447718999073e-16j)
10.75	(-0.45139145417570336605-7.1971743665575618407e-16j)
10.875	(-0.45106890443765573773-7.20552717020867331e-16j)
11.0	(-0.45074738455034008-7.152583375840543267e-16j)
11.125	(-0.45042689204894104105-7.111597172058581784e-16j)
11.25	(-0.4501074244848550232-7.0866511253196565797e-16j)
11.375	(-0.44978897942545004174-7.146123955524341176e-16j)
11.5	(-0.44947155445383535355-7.1665934331370274033e-16j)
11.625	(-0.44915514716863963463-7.039166061249886477e-16j)
11.75	(-0.44883975518379554126-7.075353823385652349e-16j)
