wn	g_0_wn_up
-133.97583670621472152	(-4.560821345993733552e-20+0.0074629669993887173124j)
-133.84493701231514251	(4.5069427009495346777e-19+0.0074702645976363569666j)
-133.7140373184155635	(4.2573402553973825214e-19+0.0074775764791817711866j)
-133.58313762451601292	(-1.5314233732494147524e-19+0.0074849026859952344504j)
-133.45223793061640549	(8.3312390281365887166e-19+0.0074922432602138270413j)
-133.32133823671685491	(-1.2575798563067727816e-19+0.007499598244140919835j)
-133.1904385428172759	(5.1827436823314244887e-19+0.0075069676802465498677j)
-133.0595388489176969	(1.1619119734063474409e-19+0.007514351611168023151j)
-132.92863915501811789	(4.3166521353700791572e-19+0.0075217500797106545338j)
-132.79773946111853888	(6.9291626152656047523e-19+0.0075291631288485318454j)
-132.6668397672189883	(-1.9409557339999033618e-19+0.007536590801725326881j)
-132.53594007331938087	(9.88608782454042174e-19+0.007544033141655121129j)
-132.40504037941983029	(1.0178709500739576394e-19+0.0075514901921232141513j)
-132.27414068552025128	(-3.456698953259836785e-19+0.0075589619967869822736j)
-132.14324099162067228	(-1.0443800123757850277e-18+0.0075664485994767121183j)
-132.01234129772109327	(2.7616392899001435537e-19+0.0075739500441964662317j)
-131.88144160382151426	(1.365354349598980454e-18+0.0075814663751249200888j)
-131.75054190992196368	(-6.845409798228613138e-20+0.0075889976366162441995j)
-131.61964221602235625	(3.3153506113593705652e-19+0.0075965438732009801445j)
-131.48874252212280567	(2.850245307383456919e-19+0.007604105129586894926j)
-131.35784282822322666	(2.2346950525933308997e-20+0.007611681450659873484j)
-131.22694313432364766	(-1.0570061222413240769e-18+0.007619272881484817281j)
-131.09604344042406865	(2.2269193633181006574e-19+0.0076268794673065107986j)
-130.96514374652448964	(1.2043676025941867346e-19+0.007634501253550542675j)
-130.83424405262493906	(-6.2657525634563356885e-19+0.007642138285824199087j)
-130.70334435872536005	(6.795411352212438594e-20+0.0076497906099173736127j)
-130.57244466482578105	(1.06771735679669360174e-19+0.007657458271803485768j)
-130.44154497092620204	(8.335768026336997035e-20+0.0076651413176403873986j)
-130.31064527702662303	(1.1577754630569402518e-19+0.0076728397937713089735j)
-130.17974558312704403	(2.2407855479013250362e-19+0.0076805537467257746498j)
-130.04884588922746502	(6.6177024293560258344e-19+0.0076882832232205468304j)
-129.91794619532791444	(7.3935207170904760793e-19+0.0076960282701605603126j)
-129.78704650142833543	(3.3293167773664968104e-19+0.007703788934639883325j)
-129.65614680752875643	(2.4309691273579721328e-19+0.0077115652639426681553j)
-129.52524711362917742	(1.5888392160806243024e-19+0.007719357305544097443j)
-129.39434741972959841	(4.87944489094971697e-19+0.007727165107111362563j)
-129.26344772583004783	(-2.3515592677275422902e-19+0.0077349887165046411416j)
-129.1325480319304404	(-1.14469910898065418165e-18+0.0077428281817780615637j)
-129.00164833803088982	(-8.805768295818861904e-21+0.007750683551180678754j)
-128.87074864413131081	(6.1776448222461745984e-18+0.0077585548731574907264j)
-128.7398489502317318	(2.8772432426744490501e-19+0.0077664421963504343127j)
-128.6089492563321528	(-4.8921876127693096695e-20+0.007774345569599324518j)
-128.4780495624325738	(5.9974795448737817983e-19+0.007782265041942949997j)
-128.34714986853302321	(-5.9743826321727385536e-19+0.0077902006626200236833j)
-128.21625017463341578	(9.646331747975867613e-19+0.007798152481070246174j)
-128.0853504807338652	(-1.5283340182566979188e-19+0.0078061205469352867165j)
-127.95445078683428619	(-1.7483890247299058597e-19+0.0078141049100598544j)
-127.823551092934721396	(5.902571327311945032e-19+0.007822105620492719041j)
-127.69265139903512818	(3.7218899204516077652e-19+0.0078301227284877615575j)
-127.561751705135563384	(3.1916869565387169614e-19+0.007838156284505020874j)
-127.43085201123598438	(-3.4136174133392886209e-19+0.007846206339211760777j)
-127.29995231733640537	(6.204892508012481411e-19+0.0078542729434835211605j)
-127.169052623436826366	(1.1381353025094104308e-19+0.007862356148405203957j)
-127.03815292953726157	(3.0924566780062907622e-19+0.007870456005272138261j)
-126.907253235637696775	(-4.9523364965491142217e-18+0.007878572565591174942j)
-126.77635354173810356	(2.4807548481397591862e-19+0.007886705881081788189j)
-126.64545384783853876	(-3.7229919734208141902e-18+0.007894856003677128489j)
-126.51455415393895976	(9.574752243705107117e-19+0.007903022985525176222j)
-126.38365446003939496	(1.351351087185195104e-19+0.007911206878989843205j)
-126.252754766139801745	(9.732739508333169731e-19+0.00791940773665207251j)
-126.12185507224023695	(-4.353057603746863721e-19+0.0079276256113109781765j)
-125.990955378340672155	(-9.6077246680539068285e-19+0.007935860555984974515j)
-125.86005568444107894	(-2.037644064449266155e-19+0.007944112623912919294j)
-125.72915599054151414	(7.041592693717509406e-20+0.007952381868555248243j)
-125.59825629664193514	(6.7709457884513825155e-19+0.0079606683435951546696j)
-125.46735660274237034	(8.6520994012508997796e-19+0.007968972102939720498j)
-125.336456908842777125	(9.313331959746725012e-19+0.007977293200721102817j)
-125.20555721494321233	(2.1843175233637877936e-20+0.007985631691297706558j)
-125.074657521043647534	(2.7950286313377257918e-19+0.0079939876292553693066j)
-124.94375782714405432	(8.5689978260379624877e-19+0.008002361069408540917j)
-124.81285813324448952	(-1.1741247354135976969e-18+0.008010752066801492613j)
-124.681958439344910516	(1.4297021527838558702e-19+0.008019160676709526092j)
-124.55105874544534572	(-1.7271745490618942924e-20+0.008027586954640173952j)
-124.420159051545752504	(7.4899049054670328947e-19+0.008036030956334427877j)
-124.28925935764618771	(2.944969003511915865e-19+0.0080444927377679668196j)
-124.158359663746622914	(-2.8399839343906929459e-19+0.008052972355152395595j)
-124.02745996984704391	(8.0890497844810959067e-20+0.008061469864936480004j)
-123.8965602759474649	(7.981094630628794469e-19+0.00806998532380741318j)
-123.765660582047885896	(-4.2225459770305901198e-19+0.008078518788692061123j)
-123.6347608881483211	(-1.2747064300184291934e-19+0.008087070316758234248j)
-123.503861194248727884	(4.802789823926709182e-19+0.008095639965415984962j)
-123.37296150034916309	(2.2774957570839942999e-19+0.008104227792318847989j)
-123.242061806449598294	(2.519485546946521874e-19+0.008112833855365170904j)
-123.11116211255001929	(-2.4113650299187271275e-19+0.008121458212699401297j)
-122.98026241865044028	(9.309921440028305638e-19+0.008130100922713399958j)
