wn	g_wn_up	g_wn_dn
-100.33461537402401	(1.604280545746146e-17+0.009962179350817684j)	(1.604280545746146e-17+0.009962179350817684j)
-99.94191629232529	(8.2177943306237175e-19+0.01000130471018445j)	(8.2177943306237175e-19+0.01000130471018445j)
-99.54921721062657	(2.462431838246843e-19+0.01004073843225855j)	(2.462431838246843e-19+0.01004073843225855j)
-99.15651812892784	(1.1394476790935627e-18+0.01008048417721137j)	(1.1394476790935627e-18+0.01008048417721137j)
-98.76381904722912	(-2.2743017371772192e-20+0.010120545665170132j)	(-2.2743017371772192e-20+0.010120545665170132j)
-98.3711199655304	(-2.1778625401285134e-19+0.010160926669399552j)	(-2.1778625401285134e-19+0.010160926669399552j)
-97.97842088383167	(-2.3108909395567145e-20+0.010201631033458069j)	(-2.3108909395567145e-20+0.010201631033458069j)
-97.58572180213295	(2.911896783340229e-20+0.010242662649288964j)	(2.911896783340229e-20+0.010242662649288964j)
-97.19302272043423	(-6.927691348214874e-19+0.010284025488691775j)	(-6.927691348214874e-19+0.010284025488691775j)
-96.8003236387355	(8.286082594677368e-20+0.010325723563128313j)	(8.286082594677368e-20+0.010325723563128313j)
-96.40762455703678	(2.4464370386818406e-19+0.010367760976521033j)	(2.4464370386818406e-19+0.010367760976521033j)
-96.01492547533805	(1.6302823342717162e-18+0.010410141885123871j)	(1.6302823342717162e-18+0.010410141885123871j)
-95.62222639363932	(-9.643806768568205e-19+0.010452870517770468j)	(-9.643806768568205e-19+0.010452870517770468j)
-95.2295273119406	(1.834615640694533e-19+0.01049595116591789j)	(1.834615640694533e-19+0.01049595116591789j)
-94.83682823024188	(2.5897648214761024e-19+0.010539388201714916j)	(2.5897648214761024e-19+0.010539388201714916j)
-94.44412914854315	(-4.53874681315167e-19+0.010583186058960187j)	(-4.53874681315167e-19+0.010583186058960187j)
-94.05143006684443	(-3.6895772556678145e-18+0.010627349259207624j)	(-3.6895772556678145e-18+0.010627349259207624j)
-93.65873098514571	(-2.52884543693811e-19+0.010671882386660777j)	(-2.52884543693811e-19+0.010671882386660777j)
-93.26603190344699	(-5.195977873725404e-19+0.010716790110021659j)	(-5.195977873725404e-19+0.010716790110021659j)
-92.87333282174826	(-6.204399463877293e-19+0.010762077175619566j)	(-6.204399463877293e-19+0.010762077175619566j)
-92.48063374004954	(2.593645871150849e-19+0.0108077484143766j)	(2.593645871150849e-19+0.0108077484143766j)
-92.0879346583508	(7.520425301977155e-20+0.010853808722431831j)	(7.520425301977155e-20+0.010853808722431831j)
-91.69523557665208	(9.893397411573716e-19+0.010900263103392397j)	(9.893397411573716e-19+0.010900263103392397j)
-91.30253649495336	(4.2908115287583583e-19+0.010947116629196429j)	(4.2908115287583583e-19+0.010947116629196429j)
-90.90983741325464	(-2.076739086636676e-18+0.010994374462071403j)	(-2.076739086636676e-18+0.010994374462071403j)
-90.51713833155591	(-6.734449396996321e-19+0.011042041868356825j)	(-6.734449396996321e-19+0.011042041868356825j)
-90.12443924985719	(-1.263062324913333e-19+0.011090124183084013j)	(-1.263062324913333e-19+0.011090124183084013j)
-89.73174016815847	(-1.3430066278315231e-19+0.011138626853324568j)	(-1.3430066278315231e-19+0.011138626853324568j)
-89.33904108645974	(3.3349695291618895e-18+0.01118755541097095j)	(3.3349695291618895e-18+0.01118755541097095j)
